id,name,city,video,video_url,time_of_day,start_time,end_time,region_code,channel_name,channel_url
yCjWDoGm84Q,Pedestrian Crossings  |  Learn to drive: Highway Code,London,yCjWDoGm84Q,https://www.youtube.com/watch?v=yCjWDoGm84Q,unknown,0:00,0:07:53,GB,Advance Driving School,https://www.youtube.com/channel/UC8NQS35cGh8gRl9uSaqoYrw
7IjvTM--byo,Guide to pedestrian crossing in London | Road crossing UK,London,7IjvTM--byo,https://www.youtube.com/watch?v=7IjvTM--byo,unknown,0:00,0:01:44,GB,VIRTUAL WALK,https://www.youtube.com/channel/UCHzFfn-hxS6k-b3d-nRepdA
y9qZEQxJ9CQ,"What is a Pelican Crossing? UK Pedestrian Crossings explained. Puffin, Toucan, Equestrian, Zebra",London,y9qZEQxJ9CQ,https://www.youtube.com/watch?v=y9qZEQxJ9CQ,unknown,0:00,0:02:51,GB,The Online Driving Instructor,https://www.youtube.com/channel/UCXgB5p6YGuKZJ6SGRcTIBZA
