id,name,city,video,video_url,time_of_day,start_time,end_time,region_code,channel_name,channel_url,published_at,country_code
xNCeG8sO-bQ,Why did the German cross the road?,Berlin,xNCeG8sO-bQ,https://www.youtube.com/watch?v=xNCeG8sO-bQ,unknown,0:00,0:00:37,DE,liamcarps,https://www.youtube.com/channel/UCIOfoptCwOUiE-hnjrhl21Q,2023-11-05T14:15:17Z,DE
BRv1nKVWACE,Cross Walk in Berlin #subscribe #follow #amazing #travel #youtubeshorts #youtuber,Berlin,BRv1nKVWACE,https://www.youtube.com/watch?v=BRv1nKVWACE,unknown,0:00,0:00:04,DE,Mark Guillette,https://www.youtube.com/channel/UCD7ltvmkRUnntk6vI6eSCyw,2024-05-21T18:00:14Z,DE
ORPGr4m2-Sw,🚦Pedestrian traffic light SOUNDS around the world 🚦#SFX,Berlin,ORPGr4m2-Sw,https://www.youtube.com/watch?v=ORPGr4m2-Sw,unknown,0:00,0:11:50,DE,WinExp,https://www.youtube.com/channel/UCyj8qZ4TnT_zVeKDjnEbnTQ,2024-07-26T16:00:30Z,DE
NU-01L-4VYw,"Berlin, Germany - Ampelmann Pedestrian Crossing Traffic Light beep sound.",Berlin,NU-01L-4VYw,https://www.youtube.com/watch?v=NU-01L-4VYw,unknown,0:00,0:00:09,DE,Davi Costa,https://www.youtube.com/channel/UCmdyb9rsBgwVGUUiQgJI2Aw,2021-02-05T18:06:07Z,DE
ILntrwaOMxE,Berlin mauerpark Street crossing,Berlin,ILntrwaOMxE,https://www.youtube.com/watch?v=ILntrwaOMxE,unknown,0:00,0:00:21,DE,Vedraj r.m,https://www.youtube.com/channel/UCfdMccWXjXKdxOGAgZTmvWQ,2022-10-17T16:51:25Z,DE
71jYBqP8RlA,Foreigners VS Indians in Mumbai Traffic 😂,Mumbai,71jYBqP8RlA,https://www.youtube.com/watch?v=71jYBqP8RlA,unknown,0:00,0:00:22,IN,2 Foreigners In Bollywood,https://www.youtube.com/channel/UCnuen5DBNNREHhvC-VY296Q,2025-04-23T09:06:02Z,IN
V6jYzC3bHU0,How to Cross the Road in Vietnam🚶 (@two_peas_abroad),Mumbai,V6jYzC3bHU0,https://www.youtube.com/watch?v=V6jYzC3bHU0,unknown,0:00,0:00:18,IN,FitFix ,https://www.youtube.com/channel/UC3NJVkGUkPwvWwWpQG-67Ag,2025-02-17T20:00:31Z,IN
Rq4ga0udVQE,Amazing Chaotic order on the road | crossing the road | traffic disorder at maximum #femtophysiker,Mumbai,Rq4ga0udVQE,https://www.youtube.com/watch?v=Rq4ga0udVQE,unknown,0:00,0:00:09,IN,Femtophysiker,https://www.youtube.com/channel/UCPWbvgVLGcxKAwDiXnLpmZA,2022-05-14T09:34:46Z,IN
hm8yVZF-LHY,"How to cross the street in Mumbai, India",Mumbai,hm8yVZF-LHY,https://www.youtube.com/watch?v=hm8yVZF-LHY,unknown,0:00,0:00:42,IN,screamphilling,https://www.youtube.com/channel/UC61tWyhtuur2vMd7YPRJvTg,2020-12-06T04:00:10Z,IN
mJZldCMZhyA,Secret Street Crossing HACK,Mumbai,mJZldCMZhyA,https://www.youtube.com/watch?v=mJZldCMZhyA,unknown,0:00,0:00:34,IN,Mark Rober,https://www.youtube.com/channel/UCY1kMZp36IQSyNx_9h4mpCg,2025-08-18T16:05:24Z,IN
DaXLckFQCK0,How do we cross the road in India 🇮🇳,Mumbai,DaXLckFQCK0,https://www.youtube.com/watch?v=DaXLckFQCK0,unknown,0:00,0:00:19,IN,YOSUKE TAKADA,https://www.youtube.com/channel/UCFkUg9bi8ejgiG7t5bN-lmg,2023-02-18T18:02:08Z,IN
