id,name,city,video,video_url,time_of_day,start_time,end_time,region_code,channel_name,channel_url,published_at,country_code
6k9S5g9MlUM,It was so nice to see the kids crossing the street from school like this. #paris,Paris,6k9S5g9MlUM,https://www.youtube.com/watch?v=6k9S5g9MlUM,unknown,0:00,0:00:27,FR,Jaber 96 BD,https://www.youtube.com/channel/UCStYbLJ8I9vW7YJPkGj_6FA,2025-09-22T18:06:37Z,FR
daTFWy8riwM,How To Cross The Street in Paris,Paris,daTFWy8riwM,https://www.youtube.com/watch?v=daTFWy8riwM,unknown,0:00,0:00:09,FR,Lance Sanchez,https://www.youtube.com/channel/UCE2ULhenw9QsmHkB8ZQ-8xw,2024-09-07T16:00:30Z,FR
-QggDcfcwXo,A road crossing in #berlin near a tram stop #travel | Day in the life of Berlin,Berlin,-QggDcfcwXo,https://www.youtube.com/watch?v=-QggDcfcwXo,unknown,0:00,0:00:07,DE,Vedraj r.m,https://www.youtube.com/channel/UCfdMccWXjXKdxOGAgZTmvWQ,2023-06-17T19:53:12Z,DE
xNCeG8sO-bQ,Why did the German cross the road?,Berlin,xNCeG8sO-bQ,https://www.youtube.com/watch?v=xNCeG8sO-bQ,unknown,0:00,0:00:37,DE,liamcarps,https://www.youtube.com/channel/UCIOfoptCwOUiE-hnjrhl21Q,2023-11-05T14:15:17Z,DE
BRv1nKVWACE,Cross Walk in Berlin #subscribe #follow #amazing #travel #youtubeshorts #youtuber,Berlin,BRv1nKVWACE,https://www.youtube.com/watch?v=BRv1nKVWACE,unknown,0:00,0:00:04,DE,Mark Guillette,https://www.youtube.com/channel/UCD7ltvmkRUnntk6vI6eSCyw,2024-05-21T18:00:14Z,DE
9-xjX9zsiWM,Walking on the Streets of Germany (Binaural ASMR),Berlin,9-xjX9zsiWM,https://www.youtube.com/watch?v=9-xjX9zsiWM,unknown,0:00,0:00:15,DE,Pardeep Singh,https://www.youtube.com/channel/UCBLFve4xmjaKq5HKup3qdww,2023-11-16T08:08:46Z,DE
71jYBqP8RlA,Foreigners VS Indians in Mumbai Traffic 😂,Mumbai,71jYBqP8RlA,https://www.youtube.com/watch?v=71jYBqP8RlA,unknown,0:00,0:00:22,IN,2 Foreigners In Bollywood,https://www.youtube.com/channel/UCnuen5DBNNREHhvC-VY296Q,2025-04-23T09:06:02Z,IN
V6jYzC3bHU0,How to Cross the Road in Vietnam🚶 (@two_peas_abroad),Mumbai,V6jYzC3bHU0,https://www.youtube.com/watch?v=V6jYzC3bHU0,unknown,0:00,0:00:18,IN,FitFix ,https://www.youtube.com/channel/UC3NJVkGUkPwvWwWpQG-67Ag,2025-02-17T20:00:31Z,IN
mJZldCMZhyA,Secret Street Crossing HACK,Mumbai,mJZldCMZhyA,https://www.youtube.com/watch?v=mJZldCMZhyA,unknown,0:00,0:00:34,IN,Mark Rober,https://www.youtube.com/channel/UCY1kMZp36IQSyNx_9h4mpCg,2025-08-18T16:05:24Z,IN
DaXLckFQCK0,How do we cross the road in India 🇮🇳,Mumbai,DaXLckFQCK0,https://www.youtube.com/watch?v=DaXLckFQCK0,unknown,0:00,0:00:19,IN,YOSUKE TAKADA,https://www.youtube.com/channel/UCFkUg9bi8ejgiG7t5bN-lmg,2023-02-18T18:02:08Z,IN
